2016-01-04,"'target', 'promotes', 'janna', 'potts', 'chief', 'store'"
2016-01-06,"'chipotle', 'food', 'safety', 'issue', 'might', 'make', 'safest', 'place'"
2016-01-07,"'macy', 'look', 'weakest', 'among', 'retail', 'holiday'"
2016-01-11,"'commerce', 'startup', 'hubba', 'set', 'raise'"
2016-01-19,"'penney', 'name', 'ex', 'home', 'depot', 'exec', 'head'"
2016-01-28,"'identity', 'theft', 'complaint'"
2016-01-29,"'jc', 'penney', 'upgrade', 'nothing', 'business'"
2016-01-30,"'barron', 'roundtable', 'part', 'stock'"
2016-02-08,"'amazon', 'buy', 'barnes', 'noble', 'may', 'make'"
2016-02-09,"'cv', 'profit', 'grows', 'outlook'"
2016-02-09,"'cv', 'growth', 'boosted', 'acquisition'"
2016-02-09,"'wal', 'mart', 'join', 'dow', 'dog', 'dividend', 'yield'"
2016-02-10,"'expect', 'whole', 'food'"
2016-02-17,"'wal', 'mart', 'earn', 'respect'"
2016-02-18,"'wal', 'mart', 'white'"
2016-02-18,"'expect', 'wal', 'mart'"
2016-02-19,"'wal', 'mart', 'stock', 'ugly', 'getting'"
2016-02-19,"'nordstrom', 'unhappy'"
2016-02-20,"'home', 'depot', 'target', 'wrap', 'dismal', 'earnings'"
2016-02-20,"'benjamin', 'trial', 'fate'"
2016-02-20,"'dividend', 'boom', 'look'"
2016-02-20,"'benjamin', 'trial', 'fate'"
2016-02-22,"'stock', 'close', 'higher', 'oil'"
2016-02-22,"'bae', 'chase', 'commercial', 'cybersecurity'"
2016-02-22,"'looking', 'bottom', 'oil', 'price', 'stock', 'market', 'keep'"
2016-02-24,"'stock', 'stage', 'late', 'day', 'rally', 'end', 'higher', 'oil'"
2016-02-24,"'target', 'taken', 'commerce', 'lead', 'brick', 'mortar', 'rival'"
2016-02-24,"'morning', 'mover', 'lowe', 'drop', 'earnings', 'chesapeake', 'energy'"
2016-02-24,"'correction', 'target'"
2016-02-24,"'target', 'swing', 'profit'"
2016-02-24,"'target', 'share', 'premarket', 'trading'"
2016-02-24,"'target', 'share', 'rise', 'premarket', 'trading', 'earnings'"
2016-02-24,"'target', 'swing', 'profit'"
2016-02-24,"'get', 'ready', 'drag', 'market', 'turn'"
2016-02-24,"'target', 'stock', 'look', 'like', 'bull', 'eye'"
2016-02-25,"'may', 'bear', 'market', 'yet', 'nowhere', 'shelter'"
2016-02-27,"'penney', 'go', 'private', 'label', 'fight', 'continue'"
2016-02-27,"'corporate', 'bond', 'worth'"
2016-02-27,"'wal', 'mart', 'turnaround', 'could', 'lift', 'share'"
2016-02-27,"'corporate', 'bond', 'worth'"
2016-02-29,"'barron', 'bounce', 'jc', 'penney', 'astronics', 'check'"
2016-02-29,"'planning', 'caribbean', 'vacation', 'stock', 'bug', 'spray'"
2016-02-29,"'target', 'name', 'former', 'amazon', 'executive', 'arthur', 'valdez', 'chief', 'supply', 'chain', 'logistics'"
2016-03-01,"'target', 'initiated', 'buy', 'buckingham', 'research', 'group', 'better', 'merchandising', 'rising', 'free', 'cash'"
2016-03-01,"'target', 'initiated', 'buy', 'buckingham', 'research', 'group', 'price', 'target'"
2016-03-01,"'curvy', 'model', 'working', 'wonder', 'american', 'eagle', 'sale'"
2016-03-02,"'higher', 'target'"
2016-03-02,"'target', 'partner', 'finnish', 'design', 'house', 'marimekko', 'next', 'capsule', 'collection'"
2016-03-03,"'costco', 'big', 'miss', 'stock', 'slip'"
2016-03-03,"'thing', 'buy', 'costco', 'sam'"
2016-03-03,"'kroger', 'revenue', 'miss', 'store', 'sale'"
2016-03-03,"'amazon', 'prime', 'rack'"
2016-03-04,"'cyber', 'geek', 'going', 'school', 'become', 'le'"
2016-03-10,"'charting', 'sell', 'news', 'response', 'ecb'"
2016-03-11,"'live', 'near', 'walmart', 'target'"
2016-03-11,"'dividend', 'aristocrat', 'stock', 'risen', 'year'"
2016-03-19,"'dividend', 'shine', 'big', 'retailer', 'like', 'macy'"
2016-03-19,"'fedex', 'delivers'"
2016-03-22,"'amazon', 'sue', 'former', 'executive', 'recently', 'hired'"
2016-03-24,"'stock', 'undervalued', 'dividend', 'payer'"
2016-03-30,"'make', 'dog', 'fitbit', 'ambarella', 'gopro'"
2016-04-01,"'nearly', 'canned', 'food', 'contain'"
2016-04-13,"'question', 'stick', 'tried'"
