SEND_SMS,Manifest Permission
READ_PHONE_STATE,Manifest Permission
GET_ACCOUNTS,Manifest Permission
RECEIVE_SMS,Manifest Permission
READ_SMS,Manifest Permission
USE_CREDENTIALS,Manifest Permission
MANAGE_ACCOUNTS,Manifest Permission
WRITE_SMS,Manifest Permission
READ_SYNC_SETTINGS,Manifest Permission
AUTHENTICATE_ACCOUNTS,Manifest Permission
WRITE_HISTORY_BOOKMARKS,Manifest Permission
INSTALL_PACKAGES,Manifest Permission
CAMERA,Manifest Permission
WRITE_SYNC_SETTINGS,Manifest Permission
READ_HISTORY_BOOKMARKS,Manifest Permission
INTERNET,Manifest Permission
RECORD_AUDIO,Manifest Permission
NFC,Manifest Permission
ACCESS_LOCATION_EXTRA_COMMANDS,Manifest Permission
WRITE_APN_SETTINGS,Manifest Permission
BIND_REMOTEVIEWS,Manifest Permission
READ_PROFILE,Manifest Permission
MODIFY_AUDIO_SETTINGS,Manifest Permission
READ_SYNC_STATS,Manifest Permission
BROADCAST_STICKY,Manifest Permission
WAKE_LOCK,Manifest Permission
RECEIVE_BOOT_COMPLETED,Manifest Permission
RESTART_PACKAGES,Manifest Permission
BLUETOOTH,Manifest Permission
READ_CALENDAR,Manifest Permission
READ_CALL_LOG,Manifest Permission
SUBSCRIBED_FEEDS_WRITE,Manifest Permission
READ_EXTERNAL_STORAGE,Manifest Permission
VIBRATE,Manifest Permission
ACCESS_NETWORK_STATE,Manifest Permission
SUBSCRIBED_FEEDS_READ,Manifest Permission
CHANGE_WIFI_MULTICAST_STATE,Manifest Permission
WRITE_CALENDAR,Manifest Permission
MASTER_CLEAR,Manifest Permission
UPDATE_DEVICE_STATS,Manifest Permission
WRITE_CALL_LOG,Manifest Permission
DELETE_PACKAGES,Manifest Permission
GET_TASKS,Manifest Permission
GLOBAL_SEARCH,Manifest Permission
DELETE_CACHE_FILES,Manifest Permission
WRITE_USER_DICTIONARY,Manifest Permission
REORDER_TASKS,Manifest Permission
WRITE_PROFILE,Manifest Permission
SET_WALLPAPER,Manifest Permission
BIND_INPUT_METHOD,Manifest Permission
READ_SOCIAL_STREAM,Manifest Permission
READ_USER_DICTIONARY,Manifest Permission
PROCESS_OUTGOING_CALLS,Manifest Permission
CALL_PRIVILEGED,Manifest Permission
BIND_WALLPAPER,Manifest Permission
RECEIVE_WAP_PUSH,Manifest Permission
DUMP,Manifest Permission
BATTERY_STATS,Manifest Permission
ACCESS_COARSE_LOCATION,Manifest Permission
SET_TIME,Manifest Permission
WRITE_SOCIAL_STREAM,Manifest Permission
WRITE_SETTINGS,Manifest Permission
REBOOT,Manifest Permission
BLUETOOTH_ADMIN,Manifest Permission
BIND_DEVICE_ADMIN,Manifest Permission
WRITE_GSERVICES,Manifest Permission
KILL_BACKGROUND_PROCESSES,Manifest Permission
STATUS_BAR,Manifest Permission
PERSISTENT_ACTIVITY,Manifest Permission
CHANGE_NETWORK_STATE,Manifest Permission
RECEIVE_MMS,Manifest Permission
SET_TIME_ZONE,Manifest Permission
CONTROL_LOCATION_UPDATES,Manifest Permission
